route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5198_117944,216,5198_1,Shaw street,15453,0,5198_7778195_9001001,5198_1
5198_117944,216,5198_10,Shaw street,15416,0,5198_7778195_9001002,5198_1
5198_117944,216,5198_100,Shaw street,15383,0,5198_7778195_9001008,5198_1
5198_117898,216,5198_1000,Ashtown Stn,16657,0,5198_7778195_5120003,5198_24
5198_117875,216,5198_10000,Ongar,19488,0,5198_7778195_7039032,5198_223
5198_117875,217,5198_10001,Ongar,27700,0,5198_7778195_7039032,5198_223
5198_117875,218,5198_10002,Ongar,6594,0,5198_7778195_7039019,5198_222
5198_117875,217,5198_10003,Ongar,27842,0,5198_7778195_7039005,5198_222
5198_117875,219,5198_10004,Ongar,11766,0,5198_7778195_7039016,5198_223
5198_117875,216,5198_10005,Ongar,19563,0,5198_7778195_7039005,5198_222
5198_117875,218,5198_10006,Ongar,6316,0,5198_7778195_7039022,5198_222
5198_117875,216,5198_10007,Ongar,19435,0,5198_7778195_7039010,5198_222
5198_117875,217,5198_10008,Ongar,27586,0,5198_7778195_7039010,5198_222
5198_117875,219,5198_10009,Ongar,11580,0,5198_7778195_7039017,5198_223
5198_117898,219,5198_1001,Ashtown Stn,9622,0,5198_7778195_5120003,5198_24
5198_117875,217,5198_10010,Ongar,21077,0,5198_7778195_11811226,5198_222
5198_117875,216,5198_10011,Ongar,12988,0,5198_7778195_11811226,5198_222
5198_117875,218,5198_10012,Ongar,6508,0,5198_7778195_7039028,5198_222
5198_117875,216,5198_10013,Ongar,19656,0,5198_7778195_7039017,5198_222
5198_117875,217,5198_10014,Ongar,27664,0,5198_7778195_7039017,5198_222
5198_117875,219,5198_10015,Ongar,11663,0,5198_7778195_7039009,5198_223
5198_117875,217,5198_10016,Ongar,27853,0,5198_7778195_7039019,5198_222
5198_117875,216,5198_10017,Ongar,19662,0,5198_7778195_7039019,5198_222
5198_117875,218,5198_10018,Ongar,6631,0,5198_7778195_7039010,5198_222
5198_117875,217,5198_10019,Ongar,27830,0,5198_7778195_7039046,5198_222
5198_117898,216,5198_1002,Ashtown Stn,16622,0,5198_7778195_5120012,5198_26
5198_117875,216,5198_10020,Ongar,19522,0,5198_7778195_7039046,5198_222
5198_117875,219,5198_10021,Ongar,11543,0,5198_7778195_7039014,5198_223
5198_117875,218,5198_10022,Ongar,6640,0,5198_7778195_7039014,5198_222
