route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5198_117858,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
5198_117859,7778019,11B,Phoenix Park - Donnybrook,,3,,,
5198_117860,7778019,11,Phoenix Park - Sandyford Business District,,3,,,
5198_117861,7778019,13,Grange Castle - Harristown,,3,,,
5198_117862,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
5198_117863,7778019,15,Ballycullen Road - Clongriffin,,3,,,
5198_117864,7778019,16,Ballinteer - Dublin Airport,,3,,,
5198_117865,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
5198_117866,7778019,19,Parnell Square West - Dublin Airport,,3,,,
5198_117867,7778019,23,Merrion Square - Charlestown SC,,3,,,
5198_117868,7778019,24,Merrion Square - Dublin Airport,,3,,,
5198_117869,7778019,27,Jobstown - Clare Hall,,3,,,
5198_117870,7778019,33,Balbriggan - Lower Abbey St,,3,,,
5198_117871,7778019,33D,Portrane - St Stephens Green,,3,,,
5198_117872,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
5198_117873,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
5198_117874,7778019,38,Damastown - Burlington Road,,3,,,
5198_117875,7778019,39,Ongar - Burlington Rd,,3,,,
5198_117876,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
5198_117877,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
5198_117878,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
5198_117879,7778019,43,Talbot Street - Swords Business Park,,3,,,
5198_117880,7778019,44,Enniskerry - DCU,,3,,,
5198_117881,7778019,47,Poolbeg Street - Belarmine,,3,,,
5198_117882,7778019,52,Intel - Ringsend,,3,,,
5198_117883,7778019,53,Dublin Ferryport - Talbot St,,3,,,
5198_117884,7778019,56A,Tallaght - Ringsend Rd,,3,,,
5198_117885,7778019,60,Forbes Street - Tallaght,,3,,,
5198_117886,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
5198_117887,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
5198_117888,7778019,68A,Hawkins Street - Bulfin Road,,3,,,
5198_117889,7778019,69,Rathcoole - Hawkins St,,3,,,
5198_117890,7778019,70,Dunboyne - Burlington Rd,,3,,,
5198_117891,7778019,74,Dundrum Luas - Eden Quay,,3,,,
5198_117892,7778019,77A,Citywest - Ringsend,,3,,,
5198_117893,7778019,80,Liffey Valley SC - Palmerston Park,,3,,,
5198_117894,7778019,82,Irishtown - Kiltipper,,3,,,
5198_117895,7778019,99,Phoenix Park - Phoenix Park,,3,,,
5198_117896,7778019,116,Whitechurch - Parnell Square,,3,,,
5198_117897,7778019,118,Kilternan - Eden Quay,,3,,,
5198_117898,7778019,120,Ashtown Station - Parnell St,,3,,,
5198_117899,7778019,122,Drimnagh - Ashington,,3,,,
5198_117900,7778019,130,Talbot Street - Castle Avenue,,3,,,
5198_117901,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
5198_117902,7778019,142,Portmarnock - UCD (Belfield),,3,,,
5198_117903,7778019,44D,Dundrum - OCS,,3,,,
5198_117904,7778019,150,Rossmore - Hawkins Street,,3,,,
5198_117905,7778019,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
5198_117906,7778019,P29,Adamstown Stn - Ringsend,,3,,,
5198_117907,7778019,X1,Kilcoole - Hawkins Street,,3,,,
5198_117908,7778019,X2,Newcastle - Hawkins Street,,3,,,
5198_117909,7778019,X25,Maynooth - Easton Rd - UCD,,3,,,
5198_117910,7778019,X26,Maynooth - Louisa Bridge - Leeson Street Lower,,3,,,
5198_117911,7778019,X27,Salesian College - Aghards Rd - UCD,,3,,,
5198_117912,7778019,X28,Salesian College - Celbridge Main St - UCD,,3,,,
5198_117913,7778019,X30,Dodsboro - UCD,,3,,,
5198_117914,7778019,X31,River Forest - Earlsfort Terrace,,3,,,
5198_117915,7778019,X32,Leixlip - Earlsfort Terrace,,3,,,
5198_117916,7778019,C1,Adamstown Stn - Sandymount,,3,,,
5198_117917,7778019,C2,Adamstown Stn - Sandymount,,3,,,
5198_117918,7778019,C3,Maynooth - Ringsend,,3,,,
5198_117919,7778019,C4,Maynooth - Ringsend,,3,,,
5198_117920,7778019,C5,Maynooth - Ringsend Night Service,,3,,,
5198_117921,7778019,C6,Maynooth - Celbridge - Ringsend Night Service,,3,,,
5198_117922,7778019,E1,Ballywaltrim - Northwood,,3,,,
5198_117923,7778019,E2,Dun Laoghaire - Harristown,,3,,,
5198_117924,7778019,F1,The Square Tallaght - IKEA,,3,,,
5198_117925,7778019,F2,Charlestown SC - Rossmore,,3,,,
5198_117926,7778019,F3,Charlestown SC - Limekiln Avenue,,3,,,
